nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,E,E,South West,127.7,,127.7,127.7,127.7
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,E,E,Yorkshire and the Humber,83.27,,83.27,83.27,83.27
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,F,F,West Midlands,164.39,,164.39,164.39,164.39
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,F,G,East Midlands,129.2,,129.2,129.2,129.2
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,E,E,South West,116.1,,116.1,116.1,116.1
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,London,61.61,,61.61,61.61,61.61
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,London,74.48,,74.48,74.48,74.48
1.0,privately rent,private rented - occupied,private rented,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,London,77.4,,77.4,77.4,77.4
1.0,privately rent,private rented - occupied,private rented,other,bungalow,bungalow,house or bungalow,D,D,South East,52.29,,52.29,52.29,52.29
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,high rise flat,C,C,London,23.45,,23.45,23.45,23.45
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,high rise flat,C,D,North West,58.21,,58.21,58.21,58.21
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,A/B,London,53.08,50.51570844796696,35.22,53.08,70.94
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,A/B,South East,42.25,,42.25,42.25,42.25
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,East Midlands,39.0,,39.0,39.0,39.0
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,London,48.865,12.27614380278541,40.38,47.315,57.05
